YEAR,MONTH,INT.AIRFARES
2002,1,105.8
2002,2,103.4
2002,3,103.1
2002,4,112.5
2002,5,112.7
2002,6,119.1
2002,7,127.8
2002,8,128
2002,9,125.2
2002,10,116.1
2002,11,105.6
2002,12,107.2
2003,1,107.8
2003,2,107.3
2003,3,108.6
2003,4,117.9
2003,5,117.7
2003,6,122.3
2003,7,129.5
2003,8,129.7
2003,9,125.9
2003,10,114.5
2003,11,106
2003,12,107
2004,1,106.8
2004,2,103.9
2004,3,103.6
2004,4,111.2
2004,5,112.2
2004,6,123.1
2004,7,126.6
2004,8,126.2
2004,9,121
2004,10,115.4
2004,11,107.9
2004,12,111.7
2005,1,110.8
2005,2,110.1
2005,3,110
2005,4,116.9
2005,5,116.2
2005,6,128.1
2005,7,132
2005,8,131
2005,9,124
2005,10,118.5
2005,11,112.7
2005,12,116.3
2006,1,114.8
2006,2,114.7
2006,3,114.9
2006,4,121.4
2006,5,122.7
2006,6,136.7
2006,7,139.4
2006,8,138.3
2006,9,130.9
2006,10,125.5
2006,11,121.4
2006,12,125.4
2007,1,122.8
2007,2,122.8
2007,3,122.9
2007,4,127.2
2007,5,127.5
2007,6,144.6
2007,7,149.4
2007,8,149.6
2007,9,140.2
2007,10,132.4
2007,11,128.2
2007,12,135.3
2008,1,132.4
2008,2,131
2008,3,131.3
2008,4,143.2
2008,5,145
2008,6,171.6
2008,7,178.6
2008,8,173.3
2008,9,161.3
2008,10,165.9
2008,11,157.6
2008,12,157.3
2009,1,148.5
2009,2,141.6
2009,3,134.9
2009,4,133.1
2009,5,130.3
2009,6,147.3
2009,7,142.7
2009,8,139.5
2009,9,137.9
2009,10,146.7
2009,11,147.5
2009,12,152.3
2010,1,147.4
2010,2,142.2
2010,3,149.8
2010,4,156.1
2010,5,160.6
2010,6,175.3
2010,7,173.1
2010,8,166
2010,9,160.9
2010,10,168.6
2010,11,166.4
2010,12,169.9
2011,1,165.4
2011,2,161.5
2011,3,161.2
2011,4,163.2
2011,5,172.3
2011,6,184
2011,7,183.9
2011,8,178.3
2011,9,174.6
2011,10,177.9
2011,11,176.7
2011,12,179.5
2012,1,179.9
2012,2,180.5
2012,3,178.7
2012,4,180
2012,5,181.1
2012,6,199.8
2012,7,193.4
2012,8,182.7
2012,9,179.8
2012,10,183.4
2012,11,181.8
2012,12,194.2
2013,1,187
2013,2,184.7
2013,3,181.7
2013,4,182.2
2013,5,185.8
2013,6,205.6
2013,7,197.5
2013,8,181.8
2013,9,181.8
2013,10,189.6
2013,11,196.1
2013,12,210.1
2014,1,196.6
2014,2,197.1
2014,3,190.4
2014,4,191
2014,5,195
2014,6,208.5
2014,7,202.7
2014,8,193.9
2014,9,193.3
2014,10,197.9
2014,11,199.9
2014,12,215.7
2015,1,201.1
2015,2,196
2015,3,191.3
2015,4,185.8
2015,5,189.3
2015,6,206.2
2015,7,197.8
2015,8,187.7
2015,9,179.3
2015,10,188.6
2015,11,195.6
2015,12,194.4
2016,1,192.4
2016,2,189.5
2016,3,179.2
2016,4,185.5
2016,5,188.3
2016,6,188.8
2016,7,181.4
2016,8,170.6
2016,9,177.8
2016,10,189
2016,11,183.9
2016,12,186.2
2017,1,183
