YEAR,MONTH,FL.COINCIDENT,PCT.FL.CO
1979,1,53.45,
1979,2,53.76,
1979,3,54.08,
1979,4,54.4,
1979,5,54.74,
1979,6,55,
1979,7,55.36,
1979,8,55.64,
1979,9,56.02,
1979,10,56.4,
1979,11,56.79,
1979,12,57.19,
1980,1,57.52,
1980,2,57.87,
1980,3,58.04,
1980,4,58.23,
1980,5,58.41,
1980,6,58.68,
1980,7,58.86,
1980,8,59.21,
1980,9,59.54,
1980,10,59.88,
1980,11,60.21,
1980,12,60.53,
1981,1,60.85,
1981,2,61.16,
1981,3,61.45,
1981,4,61.74,
1981,5,62,
1981,6,62.26,
1981,7,62.4,
1981,8,62.54,
1981,9,62.59,
1981,10,62.64,
1981,11,62.67,
1981,12,62.69,
1982,1,62.71,0.2
1982,2,62.72,0.34
1982,3,62.72,0.36
1982,4,62.81,0.87
1982,5,62.88,0.91
1982,6,62.96,1.05
1982,7,63.06,1.12
1982,8,63.09,1.29
1982,9,63.14,1.46
1982,10,63.22,1.54
1982,11,63.32,2.09
1982,12,63.44,2.18
1983,1,63.64,2.52
1983,2,64.02,3.19
1983,3,64.42,3.91
1983,4,64.83,4.05
1983,5,65.33,4.31
1983,6,65.94,4.82
1983,7,66.44,4.75
1983,8,67.06,5
1983,9,67.68,5.06
1983,10,68.32,5.15
1983,11,68.86,4.72
1983,12,69.52,4.75
1984,1,70.09,4.54
1984,2,70.67,4.47
1984,3,71.27,4.45
1984,4,71.77,4.06
1984,5,72.29,3.92
1984,6,72.71,3.73
1984,7,73.14,3.26
1984,8,73.55,3.08
1984,9,74.06,3.32
1984,10,74.45,3.33
1984,11,74.83,3.03
1984,12,75.32,3.39
1985,1,75.68,3.58
1985,2,76.05,3.19
1985,3,76.42,3.11
1985,4,76.78,3.25
1985,5,77.14,3.31
1985,6,77.47,3.42
1985,7,77.92,3.35
1985,8,78.24,3.34
1985,9,78.68,3.25
1985,10,79.11,3.69
1985,11,79.57,3.33
1985,12,79.91,3.25
1986,1,80.29,2.81
1986,2,80.56,2.46
1986,3,80.95,2.3
1986,4,81.36,2.57
1986,5,81.64,2.48
1986,6,82.17,2.67
1986,7,82.59,3.11
1986,8,83.02,2.9
1986,9,83.46,3.23
1986,10,83.89,3.02
1986,11,84.45,3.38
1986,12,84.88,3.19
1987,1,85.44,3.47
1987,2,86,3.67
1987,3,86.43,3.39
1987,4,87,3.46
1987,5,87.56,3.73
1987,6,88.12,3.84
1987,7,88.56,3.22
1987,8,88.98,2.91
1987,9,89.55,2.94
1987,10,89.97,2.87
1987,11,90.39,2.54
1987,12,90.8,2.37
1988,1,91.21,2.4
1988,2,91.62,2.39
1988,3,92.04,2.57
1988,4,92.45,2.53
1988,5,93,2.98
1988,6,93.43,2.82
1988,7,93.89,2.76
1988,8,94.21,2.37
1988,9,94.71,2.47
1988,10,95.03,2.32
1988,11,95.51,2.43
1988,12,95.79,2.02
1989,1,96.21,2.07
1989,2,96.46,1.7
1989,3,96.86,1.51
1989,4,97.07,1.46
1989,5,97.45,1.43
1989,6,97.66,1.41
1989,7,98.03,1.23
1989,8,98.22,1.36
1989,9,98.56,1.53
1989,10,98.87,1.69
1989,11,99.17,1.75
1989,12,99.47,1.61
1990,1,99.76,1.57
1990,2,99.87,1.05
1990,3,100.1,0.83
1990,4,100.3,1.04
1990,5,100.32,0.39
1990,6,100.32,-0.04
1990,7,100.28,-0.29
1990,8,100.21,-0.25
1990,9,100.12,-0.44
1990,10,99.86,-0.81
1990,11,99.74,-0.95
1990,12,99.44,-1.16
1991,1,99.31,-1.14
1991,2,99.02,-1.2
1991,3,98.76,-1.05
1991,4,98.65,-0.47
1991,5,98.56,-0.05
1991,6,98.47,0.2
1991,7,98.56,0.73
1991,8,98.52,0.66
1991,9,98.52,0.37
1991,10,98.55,0.48
1991,11,98.46,0.18
1991,12,98.55,0.52
1992,1,98.5,0.64
1992,2,98.6,0.98
1992,3,98.84,1.67
1992,4,99.04,1.82
1992,5,99.41,2.33
1992,6,99.62,2.28
1992,7,100,2.43
1992,8,100.38,2.54
1992,9,100.78,2.5
1992,10,101.2,2.89
1992,11,101.76,3.36
1992,12,102.33,3.9
1993,1,102.75,3.18
1993,2,103.19,3.15
1993,3,103.64,3
1993,4,104.11,3
1993,5,104.59,3.01
1993,6,104.91,2.45
1993,7,105.41,2.81
1993,8,105.73,2.52
1993,9,106.24,2.7
1993,10,106.61,2.5
1993,11,106.98,2.42
1993,12,107.36,2.63
1994,1,107.74,2.33
1994,2,108.1,2.31
1994,3,108.62,2.46
1994,4,109.12,2.71
1994,5,109.62,2.51
1994,6,110.11,2.34
1994,7,110.58,2.4
1994,8,111.04,2.39
1994,9,111.48,2.31
1994,10,112.08,2.5
1994,11,112.5,2.28
1994,12,113.09,2.34
1995,1,113.52,2.11
1995,2,113.97,1.74
1995,3,114.44,1.82
1995,4,114.77,1.58
1995,5,114.94,1.12
1995,6,115.32,1.15
1995,7,115.49,1.05
1995,8,115.87,1.42
1995,9,116.24,1.67
1995,10,116.6,1.76
1995,11,117.15,2.15
1995,12,117.48,2
1996,1,117.99,2.15
1996,2,118.5,2.42
1996,3,118.84,2
1996,4,119.36,2.27
1996,5,119.69,2.13
1996,6,120.04,1.89
1996,7,120.58,2.23
1996,8,120.94,2.06
1996,9,121.54,2.34
1996,10,121.97,2.41
1996,11,122.43,2.12
1996,12,122.9,2.16
1997,1,123.38,2.24
1997,2,123.85,2.11
1997,3,124.32,2.14
1997,4,124.98,2.45
1997,5,125.42,2.26
1997,6,126.04,2.37
1997,7,126.64,2.44
1997,8,127.05,2.02
1997,9,127.69,2.32
1997,10,128.12,2.22
1997,11,128.76,2.25
1997,12,129.21,2.14
1998,1,129.67,1.87
1998,2,130.11,1.86
1998,3,130.73,2.04
1998,4,131.12,1.87
1998,5,131.74,1.95
1998,6,132.17,2.04
1998,7,132.6,1.91
1998,8,133,1.76
1998,9,133.65,2.09
1998,10,134.07,2
1998,11,134.7,2.25
1998,12,135.08,1.85
1999,1,135.68,1.93
1999,2,136.06,1.83
1999,3,136.46,1.67
1999,4,136.84,1.59
1999,5,137.43,1.86
1999,6,137.81,1.81
1999,7,138.16,1.59
1999,8,138.75,1.89
1999,9,139.2,1.88
1999,10,139.7,1.78
1999,11,140.44,2.32
1999,12,140.99,2.22
2000,1,141.58,2.13
2000,2,142.17,2.06
2000,3,142.75,2.05
2000,4,143.32,2
2000,5,143.89,1.86
2000,6,144.2,1.44
2000,7,144.74,1.25
2000,8,145.2,1.46
2000,9,145.84,1.77
2000,10,146.21,1.61
2000,11,146.61,1.21
2000,12,146.76,0.64
2001,1,147.16,0.98
2001,2,147.11,0.44
2001,3,147.3,0.3
2001,4,147.42,0.66
2001,5,147.77,1.26
2001,6,147.88,1.2
2001,7,148.05,0.93
2001,8,148,0.68
2001,9,148.1,0.54
2001,10,146.32,-2.43
2001,11,146.56,-1.47
2001,12,146.57,0.28
2002,1,146.78,1.03
2002,2,146.94,1.33
2002,3,147.3,1.61
2002,4,147.62,1.68
2002,5,147.94,1.52
2002,6,148.26,1.56
2002,7,148.37,1.15
2002,8,148.74,1.27
2002,9,148.86,1.06
2002,10,149.23,1.51
2002,11,149.37,1.44
2002,12,149.54,1.22
2003,1,149.69,1.07
2003,2,149.84,1.05
2003,3,150,0.97
2003,4,150.18,1.11
2003,5,150.38,1.1
2003,6,150.58,1.17
2003,7,151.06,1.78
2003,8,151.31,1.87
2003,9,152.05,2.57
2003,10,152.59,2.73
2003,11,153.18,2.57
2003,12,153.85,2.81
2004,1,154.35,2.43
2004,2,154.9,2.19
2004,3,155.43,2.01
2004,4,156.23,2.41
2004,5,156.79,2.59
2004,6,157.34,2.08
2004,7,158.12,2.51
2004,8,158.61,1.99
2004,9,159.36,2.07
2004,10,159.9,2.07
2004,11,160.69,2.47
2004,12,161.45,2.79
2005,1,162.19,2.7
2005,2,162.92,2.67
2005,3,163.65,2.73
2005,4,164.38,2.73
2005,5,165.35,2.9
2005,6,166.06,2.81
2005,7,166.83,2.48
2005,8,167.31,2.27
2005,9,168.03,2.23
2005,10,168.44,1.66
2005,11,169.1,1.24
2005,12,169.47,1.45
2006,1,170.13,1.6
2006,2,170.49,1.52
2006,3,171.14,0.95
2006,4,171.53,1.03
2006,5,171.66,0.39
2006,6,172.04,0.29
2006,7,172.38,0.07
2006,8,172.73,0.17
2006,9,172.79,-0.36
2006,10,173.13,-0.08
2006,11,173.15,-0.36
2006,12,173.45,-0.21
2007,1,173.43,-0.3
2007,2,173.39,-0.73
2007,3,173.3,-0.76
2007,4,173.14,-0.96
2007,5,172.92,-1.14
2007,6,172.69,-1.1
2007,7,172.14,-1.59
2007,8,171.84,-1.58
2007,9,171.23,-1.95
2007,10,170.85,-1.99
2007,11,170.44,-1.87
2007,12,169.72,-2.24
2008,1,169.25,-2.04
2008,2,168.48,-2.35
2008,3,167.72,-2.42
2008,4,166.66,-2.86
2008,5,165.87,-2.79
2008,6,164.83,-2.98
2008,7,163.57,-3.56
2008,8,162.55,-3.44
2008,9,161.53,-3.34
2008,10,160.31,-3.39
2008,11,158.85,-4.11
2008,12,157.67,-4.2
2009,1,155.99,-4.99
2009,2,154.58,-4.81
2009,3,153.37,-4.49
2009,4,152.37,-3.76
2009,5,151.62,-2.66
2009,6,150.86,-1.79
2009,7,150.35,-1.19
2009,8,149.86,-1.16
2009,9,149.41,-0.75
2009,10,149.02,-0.69
2009,11,148.64,-0.67
2009,12,148.51,-0.38
2010,1,148.38,0.07
2010,2,148.51,0.63
2010,3,148.67,0.94
2010,4,148.89,1.12
2010,5,149.16,1.12
2010,6,149.22,0.65
2010,7,149.29,0.23
2010,8,149.37,0.15
2010,9,149.21,-0.18
2010,10,149.27,-0.18
2010,11,149.5,0.59
2010,12,149.68,0.99
2011,1,150.08,1.36
2011,2,150.21,1.18
2011,3,150.6,1.44
2011,4,150.76,1.42
2011,5,150.95,1.24
2011,6,150.89,0.86
2011,7,151.3,1.32
2011,8,151.45,1.65
2011,9,151.85,1.52
2011,10,152.23,1.9
2011,11,152.67,1.76
2011,12,152.91,1.6
2012,1,153.43,1.83
2012,2,153.75,1.74
2012,3,154.13,1.79
2012,4,154.29,1.37
2012,5,154.7,1.56
2012,6,154.86,1.32
2012,7,155.26,1.5
2012,8,155.62,1.55
2012,9,156.23,2
2012,10,156.62,2.24
2012,11,157.02,2.01
2012,12,157.42,1.84
2013,1,157.82,1.89
2013,2,158.24,1.87
2013,3,158.65,1.94
2013,4,159.33,2.13
2013,5,159.77,2.23
2013,6,160.26,2.12
2013,7,160.77,2.09
2013,8,161.3,2.18
2013,9,161.84,2.04
2013,10,162.41,2.2
2013,11,163.02,2.18
2013,12,163.41,2.01
2014,1,163.85,1.83
2014,2,164.28,1.71
2014,3,164.95,1.99
2014,4,165.61,2.21
2014,5,166.28,2.36
2014,6,166.95,2.6
2014,7,167.67,2.68
2014,8,168.14,2.3
2014,9,168.9,2.39
2014,10,169.66,2.73
2014,11,170.17,2.3
2014,12,170.94,2.4
2015,1,171.68,2.4
2015,2,172.44,2.5
2015,3,172.92,2.27
2015,4,173.67,2.38
2015,5,174.4,2.61
2015,6,175.15,2.93
2015,7,175.93,2.81
2015,8,176.45,2.42
2015,9,177.26,2.68
2015,10,177.8,2.42
2015,11,178.36,2.31
2015,12,178.89,2.01
2016,1,179.39,2.03
2016,2,180.13,2.24
2016,3,180.86,2.45
2016,4,181.62,2.48
2016,5,182.43,2.46
2016,6,183.01,2.22
2016,7,183.63,1.92
2016,8,184.26,2.07
2016,9,184.91,2
2016,10,185.3,1.63
2016,11,185.67,1.33
2016,12,186.31,1.72
